"","lang","experience","week","active"
"1","de","newcomer",1,0.08
"2","de","newcomer",2,0.0633333333333333
"3","de","newcomer",3,0.06
"4","de","newcomer",4,0.0433333333333333
"5","de","experienced",1,0.451666666666667
"6","de","experienced",2,0.426666666666667
"7","de","experienced",3,0.406666666666667
"8","de","experienced",4,0.375
"9","fa","newcomer",1,0.123333333333333
"10","fa","newcomer",2,0.116666666666667
"11","fa","newcomer",3,0.103333333333333
"12","fa","newcomer",4,0.09
"13","fa","experienced",1,0.698333333333333
"14","fa","experienced",2,0.66
"15","fa","experienced",3,0.633333333333333
"16","fa","experienced",4,0.598333333333333
"17","ar","newcomer",1,0.0633333333333333
"18","ar","newcomer",2,0.0566666666666667
"19","ar","newcomer",3,0.0533333333333333
"20","ar","newcomer",4,0.0466666666666667
"21","ar","experienced",1,0.673333333333333
"22","ar","experienced",2,0.628333333333333
"23","ar","experienced",3,0.598333333333333
"24","ar","experienced",4,0.566666666666667
"25","pl","newcomer",1,0.123333333333333
"26","pl","newcomer",2,0.116666666666667
"27","pl","newcomer",3,0.103333333333333
"28","pl","newcomer",4,0.09
"29","pl","experienced",1,0.698333333333333
"30","pl","experienced",2,0.66
"31","pl","experienced",3,0.633333333333333
"32","pl","experienced",4,0.598333333333333
